"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.56626591491902,0.472246941973554,0.781874301505205,0.878391440569715,1.22735582999321,1.51906754578898,1.85383696650717,2.41521325729954,2.61856253016704
"2",3,9,1.80030752717823,0.481152425537939,0.984244877780094,1.08840645934308,1.4567802820826,1.75762925682395,2.09739003809817,2.65784146307218,2.85868207882954
"3",4,10,3.21890641959035,0.587689218835941,2.17178264418904,2.31696661194248,2.8054816984399,3.18321230302486,3.59345091921427,4.2426229797604,4.46879033998471
"4",5,11,1.88960468636464,0.34499303716313,1.27490834689978,1.36013614481967,1.64691068140991,1.86865105766413,2.10947471347513,2.49056021518446,2.62332794685308
"5",6,12,1.76324503981964,0.298042809506505,1.22816477565958,1.30327179119547,1.55413248960151,1.74648095948462,1.95409503526827,2.28041048852639,2.39355940273717
"6",7,13,1.59968477834769,0.259503138104811,1.13203215756394,1.19807584801122,1.41785928117563,1.58567454920579,1.76624690195219,2.04909033516732,2.14692962212289
"7",8,14,1.46258304459632,0.231254684403399,1.04489077005504,1.10409440411753,1.30068439948483,1.45041307429595,1.61122275883889,1.86258989017798,1.94941419042405
"8",9,15,1.41791481462381,0.216229982083551,1.02615198195736,1.08195602592298,1.26670770301695,1.40693850353212,1.55716296301948,1.79131926773021,1.87203661722939
"9",10,16,1.20012937445921,0.189757115508211,0.857390020264095,0.905969839766061,1.0672826821628,1.19014324827122,1.3220963888676,1.52835686700465,1.59960095364107
"10",11,17,0.72910241945402,0.145820483890804,0.471836643153168,0.506934000258992,0.626183544058576,0.71940443472707,0.821459352905872,0.984358355600921,1.04145274218179
"11",12,18,0.83848194162387,0.167696388324774,0.542621302747312,0.582983945013669,0.720123236222868,0.827329070851914,0.944694208675631,1.13203122529206,1.19769087863952
"12",13,19,0.840286411249925,0.1752118286819,0.532669504125442,0.574299141433832,0.716430203785058,0.828140223810727,0.950915485403256,1.14771470121081,1.21689051942701
"13",14,20,0.740772951433689,0.169944970284622,0.445993707341563,0.485087455085191,0.620193933056152,0.727818250296856,0.847247502629528,1.04066007750677,1.10912270184499
