"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.43584161786209,0.299393673627276,0.910200417797532,0.981335170167236,1.22420199721883,1.41508678809207,1.62487933962962,1.96116051785168,2.07936487938209
"2",3,9,1.20243405003893,0.262392621547415,0.7443256287133,0.805746748114101,1.01662678345242,1.18340259418379,1.36751824227656,1.66405528650528,1.76863034955457
"3",4,10,0.958362802586846,0.232437121336972,0.55828164928146,0.61065414057969,0.793075652243663,0.939638292320952,1.10326666580481,1.36996179419046,1.46477284689446
"4",5,11,1.02086003616276,0.247594926945349,0.59468859093457,0.650476423284001,0.844794097646445,1.00091445378459,1.17521344245684,1.45930042671093,1.56029434512135
"5",6,12,1.05224548907932,0.255207017385515,0.612971773848605,0.670474754527381,0.870766556589526,1.03168669713819,1.2113443564495,1.50416534767092,1.60826423616426
"6",7,13,1.06105622480111,0.257343934680829,0.618104352092321,0.676088820761526,0.878057720186906,1.04032528854153,1.22148726996495,1.51676013044523,1.62173066705202
"7",8,14,1.06383068119002,0.25801683919525,0.61972057518078,0.677856661997824,0.880353670952439,1.0430455375499,1.22468122244448,1.5207261642293,1.62597117844541
"8",9,15,1.56493468882324,0.312986937764649,1.01274321772412,1.08807566780987,1.34403113132083,1.54411907731801,1.76316824978218,2.11281226863359,2.23535881862911
"9",10,16,1.38572141204615,0.271762327708718,0.905199233130664,0.970993467117554,1.19405225323004,1.36799681484319,1.55808623839177,1.86092153523784,1.96692131012956
"10",11,17,1.58585256074943,0.276061496466602,1.09162793306916,1.16068495903249,1.39197004067739,1.56986293243332,1.76231692755352,2.06557073636763,2.17090971244247
"11",12,18,1.39737637777969,0.239648071700781,0.967723763531654,1.02789841706726,1.22915279189758,1.38370074399475,1.55070221994617,1.81351022203383,1.90471726829995
"12",13,19,1.30312062215445,0.220267587647661,0.907671259763985,0.963178860014094,1.1485766589578,1.29073118205811,1.44416770250389,1.68533009733009,1.76895244144713
"13",14,20,1.28984023361486,0.212048428191988,0.908166558141447,0.961963387997,1.14119993193451,1.27823884629246,1.42584167783821,1.65729596190676,1.73742087746941
"14",15,21,1.50336600442096,0.221659224508597,1.10065286249062,1.15827113792705,1.3485234708866,1.49248619354132,1.64635428410307,1.88557703374665,1.96789108236853
"15",16,22,1.17147536240046,0.182953714305899,0.840670945679431,0.887639605870309,1.04344202983162,1.16196506106257,1.28914726710859,1.4877556842468,1.55630921808771
"16",17,23,1.3048363125815,0.190329937640845,0.958744643067713,1.00832985898415,1.17192262489847,1.29559391310573,1.42767970012973,1.63287287148353,1.7034375347392
"17",18,24,1.24113782222682,0.17914281394102,0.915117053229015,0.961888730010236,1.11607616887003,1.23252953140702,1.35681998590391,1.54975371405528,1.61606581235266
"18",19,25,1.46678882311982,0.189361622811542,1.11931439702079,1.16982076611235,1.33501818824937,1.4586480935909,1.58968853535332,1.79152801611397,1.86051653557202
"19",20,26,1.4425628110957,0.176237097080631,1.11796636435735,1.16542478770742,1.32010844648235,1.43539226407526,1.55720313317126,1.74416208692257,1.80790115383372
"20",21,27,1.43232349022172,0.165390470529227,1.12661328596003,1.1715620796265,1.31757393072258,1.42596266238842,1.54014112910467,1.71478373791963,1.77417563158152
"21",22,28,1.31311835534507,0.149643724734856,1.03629247116003,1.07704561975108,1.20932858789748,1.30743825585798,1.41071799720803,1.56856770912596,1.62221845159042
"22",23,29,1.61347698462385,0.159758027197472,1.3155976577081,1.35999372865053,1.50304231242008,1.60820725834992,1.71816831817461,1.88493664916295,1.94130000675247
"23",24,30,1.72503721021809,0.151881057518194,1.44021656679385,1.48304518996385,1.6203113864438,1.72058180316746,1.82490696442461,1.98222762239191,2.03517507660611
"24",25,31,1.69534813667764,0.136173639259832,1.43895847404498,1.47775081976378,1.60162198832747,1.69170362388759,1.78510190878136,1.92537761961722,1.97244757214952
"25",26,32,1.44090004944275,0.114270806907192,1.22563627392804,1.25823252469437,1.36226807268282,1.43788042304314,1.51624073899908,1.63386811840462,1.67332274559628
"26",27,33,1.36454173872044,0.105276680723831,1.16600060127777,1.19611605439271,1.29213557191617,1.36183527171176,1.43399792756342,1.54219970236787,1.57846234540746
"27",28,34,1.4166800656912,0.102776774166326,1.22239370555684,1.25197117039183,1.34607042206761,1.41419543873198,1.48458148697792,1.58986447094705,1.62508541495229
"28",29,35,1.4950684045449,0.100117185469408,1.30526744779172,1.33428894318041,1.42637780992838,1.4928342185068,1.56132371040886,1.66346904599363,1.69756533563619
"29",30,36,1.30904375880904,0.087660053807471,1.14285888251948,1.1682693636014,1.24890002632276,1.30708756250371,1.36705521458294,1.45649106489736,1.4863449063801
"30",31,37,1.28040173131691,0.0835241994124252,1.12191737403366,1.14618321482522,1.22311952754133,1.27858601733906,1.33570477502541,1.4208139427522,1.44920408568098
"31",32,38,1.26605804376168,0.0803947661736731,1.11337677853165,1.13678568458264,1.21094513805986,1.26435676005815,1.319316510614,1.40113375093827,1.42840707062963
"32",33,39,1.31172335661854,0.0792441060070481,1.16099058468571,1.1841562527741,1.25743995733932,1.31012793169644,1.36426768984343,1.44473269659745,1.47152237814145
"33",34,40,1.26268056281271,0.0746638668965628,1.12056753046199,1.1424301398971,1.2115506549773,1.26120921246182,1.31220664418043,1.38794998071395,1.4131547879862
"34",35,41,1.3141029429581,0.073691233802131,1.17362373100614,1.19528603819003,1.26367677094828,1.31272573354634,1.36302789312464,1.43761770538365,1.46240841110225
"35",36,42,1.31627859672584,0.0707635757558437,1.18122216511813,1.20208544025197,1.26788334839935,1.31501072300679,1.36329179584589,1.43479664551012,1.45853998674658
"36",37,43,1.3637934887097,0.0690583677294343,1.23178350322123,1.25222508622199,1.31660083358583,1.3626280305297,1.40971572317162,1.47933742323724,1.50242646217852
"37",38,44,1.27377601487139,0.0635301733472092,1.15228693443098,1.17111033312389,1.23036936882852,1.27271997169096,1.31603150720774,1.38004399818907,1.40126631285075
"38",39,45,1.24159534933482,0.0605836495994203,1.12567784545671,1.14365282649277,1.20021299324028,1.24061009535384,1.28190371371089,1.34289870065911,1.36311180178187
"39",40,46,1.22965537886835,0.0585550180413501,1.11755302273604,1.13495200779911,1.18967039197794,1.22872605913484,1.26862734333866,1.32752877761805,1.34703883100519
"40",41,47,1.23589527443246,0.0570683413548957,1.12655982343854,1.14354803836135,1.19693949197011,1.23501699511863,1.27389366897913,1.33123843072324,1.35022177980566
"41",42,48,1.23099626452469,0.0552733639709473,1.12503196519526,1.14151234632205,1.19327776750586,1.23016908100062,1.26781306925758,1.32330180713944,1.34166125980815
"42",43,49,1.22573900085779,0.0535466568728551,1.12302232035194,1.13901236610819,1.18920992539653,1.22495935691046,1.26141820358551,1.31512509520819,1.33288622675096
"43",44,50,1.22971725720208,0.0521047924318269,1.12970062873746,1.14528586956037,1.19418351906765,1.22898141857746,1.26444887167963,1.31665867772921,1.333915501007
"44",45,51,1.27304147157857,0.0514596515010804,1.17416683515774,1.18959685518149,1.23796489213848,1.27234816104977,1.30736228354725,1.35885105049841,1.37585605320789
"45",46,52,1.2557659834169,0.0492551942611445,1.16107025078172,1.17586151434774,1.22220218606067,1.25512205960494,1.28862784744137,1.33786695010814,1.35412101084026
"46",47,53,1.19845770008268,0.0465091786977986,1.10902276311581,1.12299668275364,1.16676843703202,1.19785611841407,1.22949118594243,1.27597078080432,1.29131131100969
