"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.97983635248287,0.480180847219087,1.15332763457435,1.26152148544423,1.6383774519867,1.94115427299607,2.27918638489207,2.83013922736754,3.02600489353684
"2",3,9,1.8508510709821,0.413862881094426,1.13054791791593,1.22661930531471,1.55750482269447,1.82009662842002,2.11071119151382,2.58001602724153,2.74581655549611
"3",4,10,1.6598255473946,0.353875995729871,1.0402038336583,1.12368216934649,1.40946089138782,1.63474554488301,1.88287952167363,2.28153910632812,2.42189149835882
"4",5,11,1.36051701282355,0.29688915216853,0.842181474245714,0.91167757499964,1.15028182588004,1.33898350795575,1.54730468078776,1.8828271933052,2.00115064929104
"5",6,12,1.51955150817757,0.303910301635514,0.983373616087764,1.05652142152659,1.30505416438299,1.49933955039919,1.71203628641011,2.05154061203181,2.17053330623023
"6",7,13,1.67239125343218,0.300370336179623,1.13630871763206,1.21083887716069,1.46120916559913,1.65444333325807,1.86402285976465,2.19517577415074,2.31042822897399
"7",8,14,1.58909037964975,0.268605299101828,1.10685967381196,1.17454841425186,1.40063175120543,1.57398207752358,1.76109023495893,2.05517570566388,2.1571489691523
"8",9,15,1.21314631215496,0.21788750979726,0.824274061130023,0.878337957954957,1.05995562156622,1.20012695850468,1.3521551571471,1.59237223315871,1.67597592951187
"9",10,16,1.14063579400911,0.208250651425536,0.769582180362063,0.82102885471332,0.994136650013354,1.12798740300826,1.273357534573,1.50339494237803,1.58353849204396
"10",11,17,1.05735749373757,0.199821783951438,0.702606375751011,0.751503199346331,0.91661575384997,1.04479689332466,1.18441824159611,1.4060650106415,1.48345679568749
"11",12,18,1.07077800228566,0.202358021671887,0.711524206217586,0.761041652679744,0.928249898056373,1.05805797646914,1.19945146851322,1.42391148887262,1.50228556904481
"12",13,19,0.919528965189329,0.187698064035274,0.589159558538521,0.634055018510246,0.78695255812851,0.906789744823123,1.03823182121587,1.24846686855193,1.32225556012215
"13",14,20,0.80589685778028,0.180204015685019,0.492262737344415,0.534094103703993,0.678168147759767,0.792505770289695,0.919045050999199,1.12338958113655,1.19558238304998
"14",15,21,0.704461169667916,0.176115292416979,0.402660426272046,0.441871363647153,0.579069429047755,0.689840498316515,0.813938444846067,1.01693944042496,1.08928272025295
"15",16,22,1.09066082850418,0.232529669938096,0.683511334556705,0.738364418910507,0.926147802676178,1.07418091809365,1.23722817877192,1.49918486064906,1.59140952631651
"16",17,23,1.05778279374958,0.225520049376049,0.662906845218308,0.716106380121494,0.898229022750755,1.04179967120662,1.19993186263226,1.45399184494353,1.54343639264597
"17",18,24,1.1310451387699,0.230873622170137,0.724681962038696,0.779904574567714,0.967972624038575,1.11537555813418,1.27705281590629,1.53564752829749,1.62640958589021
"18",19,25,1.31947418264856,0.245020204562813,0.883672568472983,0.943923495142664,1.14700546008529,1.30433919532281,1.47545740471393,1.74666084594649,1.84124868882181
"19",20,26,1.44974402658089,0.245051466466418,1.00979983323909,1.07155298987274,1.27781121876602,1.43596056212872,1.60666132090258,1.87495861847523,1.96798990952481
"20",21,27,1.30987326640018,0.218312211066697,0.917419132252606,0.972623343166764,1.15677304140293,1.29776497771082,1.4497826397496,1.68843155938434,1.77111338616552
"21",22,28,1.34387827669129,0.212485812618323,0.960086343527779,1.01448494879789,1.19511949475756,1.33269603389485,1.48045423643745,1.71142014878607,1.79119769811615
"22",23,29,1.29359932042336,0.19960670865001,0.932312606781247,0.983693909451119,1.15396518732229,1.28334727091225,1.42206373928784,1.63847967898259,1.71312989065272
"23",24,30,1.29011448854042,0.192318913008917,0.941018360656385,0.990894370969371,1.15572275897691,1.28057077177963,1.41410784485837,1.62189280356367,1.69343140676783
"24",25,31,1.46988007711294,0.198198589165401,1.10731483308798,1.15975713132241,1.33179115011187,1.46098137505908,1.59827247200682,1.81036013073283,1.88300420795696
"25",26,32,1.50526701841599,0.188158377301999,1.15923902440593,1.20971023313415,1.37444919092965,1.49743438669098,1.62754944442681,1.82754375628031,1.89579836901945
"26",27,33,1.35225049354797,0.166450529428359,1.04583043374645,1.09059654367389,1.23657294684602,1.34542711159486,1.46049235793128,1.63718142124935,1.69743980108172
"27",28,34,1.44570747955326,0.164753657761899,1.14092973452274,1.18579783913311,1.33143777759585,1.43945384500488,1.55316202214544,1.72695024788774,1.78601825142964
"28",29,35,1.52159908562829,0.159506924903407,1.22509666768162,1.26907758758135,1.41119314551477,1.51602910672637,1.62593462035265,1.79312134888621,1.84975081951314
"29",30,36,1.45231257050342,0.145231257050342,1.18165947280046,1.2219652997723,1.35189726617445,1.44747440784988,1.54745491077801,1.69916409069041,1.75045705931458
"30",31,37,1.5093744261795,0.139541715063185,1.24829377431365,1.28741340501697,1.41305905383152,1.5050763989522,1.60100534985463,1.74599704186869,1.79487776531613
"31",32,38,1.36404854423454,0.124004413112231,1.13185131288043,1.16668646878535,1.27848777252734,1.36029268062595,1.44551574759318,1.57422274620768,1.61758780235063
"32",33,39,1.31823706123766,0.116516795651572,1.09977360216167,1.13261499548672,1.23788940226748,1.3148057460699,1.39484484166356,1.51556411567011,1.55619847039236
"33",34,40,1.32722296869053,0.11257358292603,1.11576094156586,1.14764100004691,1.24965880042307,1.32404154026735,1.4013195655686,1.51765747126266,1.55676314287076
"34",35,41,1.32011571491585,0.107786996765775,1.11731215759443,1.14796437003939,1.24590452582109,1.31718328620999,1.39113068782266,1.50227017496748,1.53958261516736
"35",36,42,1.30652597656312,0.10296867181511,1.11250370102989,1.14189499966706,1.23567946254345,1.30382195173379,1.37442519260154,1.48038091441833,1.51591379317885
"36",37,43,1.26159375399218,0.0973340712661219,1.07803157205185,1.10587496186569,1.19465027751308,1.25909147665126,1.32580981388535,1.42584829522353,1.45937509961787
"37",38,44,1.16952945238744,0.0907730899299551,0.998381519961577,1.02433233653935,1.10709159146969,1.16718183987542,1.22940848166769,1.32273472885184,1.3540176551465
"38",39,45,1.19121391738606,0.0900473081052157,1.02125737489039,1.04706884281342,1.1293048945419,1.18894570843096,1.25065063809565,1.34309627924062,1.37405957148655
"39",40,46,1.20520921394353,0.0886087436773466,1.03778950402982,1.0632573300872,1.14431917222443,1.20303836277463,1.26373305424874,1.35456626749944,1.38496484760442
"40",41,47,1.18821097417631,0.0857517407243453,1.02607672314936,1.05076682984303,1.12930317767883,1.18614874580002,1.24487095629614,1.33268974883905,1.36206392614299
"41",42,48,1.2171892615146,0.0848055943138455,1.05663854722316,1.08113551195199,1.15896614719233,1.21522026718391,1.27326616792658,1.35995959104557,1.38892892055266
"42",43,49,1.18974772214427,0.0815201706756275,1.03532557047502,1.05890877187486,1.1337956916913,1.18788635101453,1.24367084653806,1.32693612578766,1.35474726378033
"43",44,50,1.17706494326333,0.0791779564100058,1.02698352727334,1.04992628510262,1.12273684410534,1.17529005819279,1.22945839892057,1.31025803080852,1.33723230703243
"44",45,51,1.1374608394249,0.0761700116721793,0.99305864689925,1.01513844900451,1.0852004470739,1.13576105156329,1.18786844324776,1.26558148888795,1.29152223789996
"45",46,52,1.08810556659187,0.0733600623341726,0.949062798546468,0.970315552989861,1.03776757808873,1.08645736661064,1.13664700055612,1.211517866182,1.23651438029226
"46",47,53,1.15460555435825,0.0749996901865593,1.01227612833859,1.03407314610088,1.10317301669721,1.15298204322889,1.20426843492287,1.28067602142998,1.30616076754842
"47",48,54,1.23626127604872,0.0760866218544245,1.09161788609501,1.11382815367351,1.18412643546986,1.23470069095724,1.28669503270645,1.3640177944358,1.38977291730926
"48",49,55,1.17724122900195,0.0717776645438407,1.04074941644101,1.06171734388789,1.1280657696565,1.17578276365254,1.22482691531865,1.29774016214818,1.32202099000993
"49",50,56,1.24490655317358,0.0721155003429439,1.10756016856653,1.1287091432367,1.19553627056667,1.24351431750026,1.29275924219276,1.36585308268906,1.39016456242186
"50",51,57,1.34392078150822,0.0724593524178816,1.20563877314682,1.22699776720059,1.29436388697554,1.34261875725934,1.39205840152011,1.46528518068592,1.48960181425826
"51",52,58,1.31673463324207,0.0682695104725304,1.18631229562762,1.20648931031041,1.27006709478303,1.31555495163569,1.36211625040649,1.43100400879332,1.45386077624046
"52",53,59,1.21270653441313,0.0627075620521551,1.09290136979084,1.11143782519485,1.16984249171143,1.21162586222345,1.2543925814201,1.3176615615395,1.33865286231493
"53",54,60,1.24742816284968,0.0619852037595458,1.12888248017624,1.14725243128604,1.20507905173365,1.24640162336355,1.28865828066038,1.35110555468411,1.37180740263552
"54",55,61,1.21160152696263,0.059190607930275,1.09835271282079,1.11591308760676,1.17117011974631,1.21063777992956,1.25098238659104,1.31057743192276,1.3303270707473
"55",56,62,1.22834310850598,0.0580337569601224,1.11721782302681,1.1344700724768,1.18871775458621,1.22742928373156,1.26697232974251,1.32533331636845,1.3446614382692
"56",57,63,1.22541675590492,0.0562852557240809,1.11756836477541,1.13432863924404,1.18699786106161,1.22455510791838,1.26289639168182,1.31944406091187,1.33816169089412
"57",58,64,1.15558524920563,0.053077788392475,1.0538826983475,1.06968787308112,1.11935569060218,1.15477270302617,1.19092907328889,1.24425432131111,1.26190530984488
"58",59,65,1.10350218068546,0.0509549962978444,1.00587909635623,1.02104747882446,1.06871946746791,1.10271798548857,1.13743006447323,1.18863187011535,1.20558166152772
