"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.60305620460721,0.566765956450466,0.692085887576091,0.797685333355312,1.19349735603669,1.53677973793517,1.94058572204862,2.63464567623382,2.89004490320158
"2",3,9,1.44661595247029,0.511455974882188,0.624546090504945,0.719840218307328,1.0770254402258,1.38680732337444,1.75120638601655,2.37753389643663,2.60800903194235
"3",4,10,1.53075041848708,0.510250139495694,0.699956565671374,0.798580169141601,1.16296980148914,1.47444451703545,1.83731633867657,2.45509401025014,2.68105649950022
"4",5,11,1.54224909253557,0.487701985174018,0.739568386496556,0.836732701297634,1.19152418593307,1.49115663405282,1.83741182152906,2.42213557750822,2.63490226190997
"5",6,12,1.38137856422789,0.436830257389332,0.662424715197806,0.749453913220177,1.06723743730721,1.3356155112403,1.64575315116331,2.16948493120701,2.36005812618371
"6",7,13,1.29655280101685,0.410005995788432,0.621747464593505,0.703432495321649,1.00170201313652,1.25359990159402,1.54469304300793,2.03626423426696,2.21513497697599
"7",8,14,1.24727074150236,0.394421640203455,0.598114801481712,0.676694978676217,0.963627251978728,1.20595048468692,1.48597915614005,1.95886569322669,2.13093754692736
"8",9,15,1.21309191562432,0.383613346450966,0.581724725955451,0.658151579012358,0.937221078113831,1.17290395335884,1.44525902926934,1.90518710747986,2.07254369469471
"9",10,16,1.30670494819736,0.393986365897403,0.652302402110328,0.732824759138041,1.02395890823809,1.26732827409521,1.54661983907844,2.01496507342966,2.18461538538326
"10",11,17,1.23547826540818,0.372510712999823,0.616746298690173,0.692879493199322,0.968144321749495,1.19824795945091,1.46231572679551,1.9051321089839,2.06553501663917
"11",12,18,1.19246653419506,0.35954218808914,0.595274997438928,0.668757703800848,0.934439509201591,1.15653235780774,1.41140691459649,1.8388071622071,1.99362583018529
"12",13,19,2.12259836055087,0.474627422312134,1.2965382221808,1.40671508761617,1.78618217047964,2.087328462078,2.42061189306081,2.95882141760438,3.14896525735962
"13",14,20,1.8121370370674,0.377856692475233,1.14873943457708,1.23851668980366,1.54503237154755,1.78594292536566,2.05071645471087,2.47512787331302,2.6243104146236
"14",15,21,1.65203274198713,0.323990276480252,1.07916263554401,1.15760136632743,1.42352813547622,1.63090178834574,1.85752306220194,2.21855798702162,2.34492905788918
"15",16,22,1.46180144609261,0.281323819467784,0.963336364043909,1.0318211608021,1.26352502103732,1.44379466107791,1.64046552633729,1.95321621728124,2.06254900352189
"16",17,23,1.3172095645412,0.253497098889004,0.868049403002569,0.92976012955622,1.13854535251434,1.30098389346159,1.47820135721408,1.76001678606688,1.85853508493645
"17",18,24,1.23938177946206,0.238519134667046,0.816760402228808,0.874824929048883,1.07127400451953,1.22411480779942,1.39086131609236,1.65602558235178,1.74872289328048
"18",19,25,1.32277255577317,0.241504122415242,0.892469088679924,0.952130769713492,1.15288042356089,1.30810446927397,1.47668730831244,1.74345709709506,1.83639797145402
"19",20,26,1.14782479683617,0.216918497221552,0.762721241660168,0.81580166804542,0.995041220846356,1.13418951387608,1.28575683775929,1.5263676615873,1.61038107282553
"20",21,27,1.16685830777762,0.216680148067467,0.781463321857602,0.834745375618364,1.01433803538337,1.15347389606923,1.3047998612649,1.54463478388905,1.62828220323627
"21",22,28,1.09730444551525,0.207371048239928,0.729150835100904,0.779894980028709,0.951245484602889,1.08426930578905,1.22916554670519,1.45918612768002,1.53950177331576
"22",23,29,1.32222006335292,0.226758870112064,0.915675830986946,0.972614058564912,1.16304419354473,1.3092799581264,1.4672994478099,1.71597261754111,1.80227419556252
"23",24,30,1.2153012256387,0.208422440718994,0.841631427724861,0.893965452656933,1.06899681305896,1.20340749767499,1.34864903863314,1.57721372036354,1.65653668365151
"24",25,31,1.29092803356059,0.20941618018174,0.91353750868394,0.966834040970916,1.14419685583572,1.27962193263328,1.42534183658029,1.65359337837659,1.73254860757179
"25",26,32,1.23242391384784,0.197345766029694,0.876373879749731,0.926750306633339,1.09420828363791,1.22190653165517,1.35918124970991,1.57397799305756,1.64822379984174
"26",27,33,1.13718729414582,0.184476138948181,0.804741411289711,0.851690689454826,1.00793080065753,1.12722767286049,1.25559332839253,1.45666166562898,1.52621386459975
"27",28,34,1.05412236164264,0.175687060273773,0.738294342752702,0.78272000947493,0.930914739285673,1.04437819921404,1.1667146275008,1.35876768272514,1.42530599963501
