"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.77877969009621,0.408080047997471,1.07094157122568,1.16481536124667,1.48923954351473,1.74767223776703,2.03445151074343,2.49888310119904,2.66327885224235
"2",3,9,1.80220510084065,0.375785740612459,1.14244343898072,1.23172864423796,1.53656437896829,1.77615455347296,2.03947691563037,2.46156222585481,2.60992712950548
"3",4,10,1.55359144590796,0.317125525935602,0.995415354025192,1.07126854105102,1.32959679241002,1.53206787836661,1.75414602190188,2.10934893941313,2.23401872619319
"4",5,11,1.48632116303581,0.291491562068674,0.970914330449188,1.04148505377809,1.28073732448561,1.46730980642399,1.67119922505709,1.99601957256974,2.10971465393963
"5",6,12,1.28440689646172,0.256881379292344,0.831200421640481,0.893028892252413,1.1031021719033,1.26732265955245,1.44710541329073,1.7340727815309,1.83465182490951
"6",7,13,1.51765688381717,0.272579222990998,1.03117422069542,1.09880863903412,1.3260139601407,1.50136955598851,1.69155819184575,1.99207190183004,2.09666087350779
"7",8,14,1.85464823151992,0.282831203776681,1.34221812127184,1.41521042686387,1.65686766018898,1.84029109543187,2.03678634694188,2.3430653786242,2.44864456290075
"8",9,15,1.5769167992127,0.232503697569439,1.15450128834828,1.214938484753,1.41449873757971,1.56550470362327,1.72690064856021,1.97782715052811,2.06416833803757
"9",10,16,1.62582533608526,0.219226243595587,1.22479414388248,1.2828002482441,1.47308602105752,1.61598253633397,1.76783937643414,2.00242823466605,2.0827794028372
"10",11,17,1.48712922666278,0.193607734506982,1.13207167003274,1.18363245805257,1.35237241479506,1.4787358576997,1.61273987723517,1.81925902270549,1.88987532178308
"11",12,18,1.51923752756447,0.184234611663251,1.1797473859661,1.22942105162617,1.3912513738437,1.51179680964274,1.63911517993164,1.83443687483691,1.90100475147838
"12",13,19,1.3718107297187,0.163962743075168,1.0693937630461,1.11370784164584,1.2579505981971,1.36528385665169,1.47855814859129,1.65217899867631,1.71131264371769
"13",14,20,1.3638897783369,0.156448887207858,1.07459001859595,1.11715301540257,1.2553622021068,1.35791249236293,1.46590338407693,1.63101697473959,1.68715228371739
"14",15,21,1.34937059064782,0.149013053565756,1.07319447525469,1.11397131611882,1.24609900117408,1.34388932605637,1.44666863067901,1.60346811781954,1.65669145702886
"15",16,22,1.35954434782033,0.143308557304014,1.09323420470947,1.13271776322354,1.26033750286426,1.35451232730256,1.4532670937528,1.60353658108478,1.65444701561461
"16",17,23,1.29715862958649,0.133791697032345,1.04823621240218,1.08521065499527,1.20458712614152,1.29256168739185,1.38472014364924,1.52478803889306,1.57220156336353
"17",18,24,1.25873393212226,0.127151328444751,1.02190105013991,1.05714108826682,1.17079918074479,1.25445512275187,1.34200536391177,1.47492293923293,1.51987978670356
"18",19,25,1.14892583741165,0.117877303733566,0.929549612245364,0.962149871299034,1.06737563092574,1.14489704301936,1.22608524019382,1.34944512177586,1.39119431062313
"19",20,26,1.14319527859096,0.116073894211619,0.927054359342569,0.959201827474047,1.06291198386726,1.13926918152387,1.21919967279936,1.34058170425805,1.38164496511518
"20",21,27,1.21654131045298,0.118160937581656,0.99600434627298,1.02892383284733,1.13489616102673,1.21271785492106,1.29401933778299,1.41720156549227,1.45880405707314
"21",22,28,1.05389142223854,0.107006461403712,0.854634947814159,0.884271127690804,0.979879678800763,1.05027202308655,1.12395852329182,1.23585846214206,1.27371395297282
"22",23,29,1.11799704442824,0.110159522077629,0.91254542319282,0.943178062569341,1.04185627307943,1.11438102001908,1.19019679519855,1.30515122107768,1.34399570329595
"23",24,30,1.01765985500883,0.103864474020264,0.824307749828259,0.853053330540117,0.945812729639936,1.01412850334641,1.08565830734354,1.19431277783875,1.2310776878703
"24",25,31,0.971301803833817,0.101820095283964,0.782031623460534,0.810106526525583,0.900824968115984,0.967746247967722,1.03790364004608,1.14462608259714,1.18077509680832
"25",26,32,1.0367249286179,0.106365733382899,0.838772376790577,0.868188985016989,0.963138688980063,1.0330895751053,1.10634915825639,1.21766205615029,1.25533413507668
"26",27,33,1.00979415679227,0.104710776221463,0.815034210120642,0.843950338374749,0.937334942803809,1.00617713818517,1.07831136437486,1.18797662825075,1.22510651695635
"27",28,34,1.00113963810301,0.104376022514181,0.807059847921861,0.835861693819228,0.928902939417328,0.997514666290568,1.06942567355358,1.17878337350846,1.21581700233028
"28",29,35,1.02856578863794,0.10608846075761,0.831185856453029,0.860504280458991,0.9551623672872,1.02492070054623,1.09799660127107,1.20906169527599,1.24665765931365
"29",30,36,1.0668076041543,0.107763841588411,0.866085979857926,0.89595276876786,0.992280764887535,1.06318120920572,1.13738216671661,1.25003304269585,1.28813506371599
"30",31,37,1.13261053652466,0.110008860168327,0.927288705545959,0.957937033745521,1.05659819259376,1.12905086618369,1.2047432535554,1.31942697848715,1.358159259837
"31",32,38,1.30406529852003,0.115717083134541,1.08714048302936,1.11974146295848,1.22426269133231,1.30064415662931,1.38013912071879,1.50005942314761,1.5404302407111
"32",33,39,1.27193929252046,0.109067894527212,1.0671613993566,1.09801075624429,1.19677429402007,1.26882315629038,1.34370789709014,1.45649764581584,1.49442428069676
"33",34,40,1.2875802207557,0.105482681707202,1.08914037998838,1.11912650933103,1.21495089478108,1.28470087651028,1.35707119355848,1.46585596766333,1.50238174602089
"34",35,41,1.23732853886099,0.0993846198615835,1.0502057646171,1.07851787079094,1.16892368697113,1.23466863698726,1.30283420185242,1.40521266711936,1.43956608063429
"35",36,42,1.21586684092993,0.0955275209157133,1.03584316964547,1.06311917775743,1.15014390510839,1.2133659745173,1.27886391227558,1.37714545001543,1.41010161852588
"36",37,43,1.1735076781404,0.0913574488397745,1.00127883376603,1.0273886835559,1.11066438565586,1.17113780888118,1.23376788199268,1.32771075694433,1.35920326021175
