"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.48556249418319,0.355080356311884,1.83883281641249,1.93173333812074,2.23775329048428,2.46867450719765,2.7149705643681,3.09700413669226,3.22824025765818
"2",3,9,1.96694306445155,0.262843823088175,1.48580765266345,1.55547231409664,1.78386151863161,1.95524754032844,2.13728040298615,2.41831195813288,2.51452807059613
"3",4,10,1.59887129233698,0.209942085998583,1.21409000578428,1.26991403970293,1.45271037083969,1.58969182446747,1.73502951895219,1.9591433071724,2.03580729410491
"4",5,11,1.29735423633272,0.176547549702961,0.974612431353911,1.02124484405022,1.17431764260357,1.28935472468387,1.41167417701322,1.60075327823447,1.66554588953631
"5",6,12,1.25920192780339,0.169790753307699,0.948603218875075,0.993528954017316,1.14090530905503,1.2515786781549,1.36919181996059,1.55088092024124,1.61311291012153
"6",7,13,1.11797631556897,0.156547996910625,0.832406799095415,0.873528376096522,1.00878674891012,1.1106778320899,1.21921331001472,1.38732254746478,1.44501215455384
"7",8,14,1.13411413897012,0.157273333857134,0.84701068454461,0.888401405261359,1.02444984919197,1.12685251966178,1.23586595323259,1.404599357066,1.46247467184746
"8",9,15,0.901094375112015,0.139041880711782,0.649429566445395,0.685220712970269,0.803828142883449,0.89395301070189,0.990580016773398,1.14133085813879,1.19333064259667
"9",10,16,0.865246458999266,0.140361510207221,0.612299891243077,0.648021972288179,0.766899666110225,0.857668527822523,0.955337512938687,1.10832345263948,1.16124331393663
"10",11,17,0.974354582621868,0.154058986485391,0.696093198881175,0.735533921491613,0.866499724487513,0.966247100194569,1.07337650637994,1.2408341541666,1.29867542009693
"11",12,18,1.0162090653279,0.158705192597563,0.729249170214457,0.769992646180073,0.905145156178334,1.00795925082582,1.11828484100087,1.2905698761148,1.35003738587673
"12",13,19,0.990442213202798,0.156602664224947,0.707586438029664,0.747678368923532,0.880806556635336,0.982200867616688,1.09109909425182,1.26132164592829,1.32011793268494
"13",14,20,0.974928132149117,0.15611344189368,0.69326920716841,0.733120264271515,0.865590505152195,0.966608193156552,1.07520149693833,1.24511980623972,1.30385310808065
"14",15,21,0.990247985966155,0.158566581801966,0.70416312084209,0.744640390636307,0.879192246210909,0.981797308876155,1.09209702924864,1.26468540578217,1.32434163267647
"15",16,22,0.871327281910752,0.149431396043762,0.603419472324456,0.640941086500025,0.766432278552505,0.862799906606777,0.966932869228516,1.1308055278513,1.18767724042486
"16",17,23,0.971007576681555,0.161834596113592,0.680081769176088,0.721004588533787,0.857514552373536,0.962031715917309,1.07472223752383,1.25163241278761,1.3129243578313
"17",18,24,1.06635202121165,0.170752980462945,0.758280529538317,0.801868619663115,0.946761257853908,1.05725187991045,1.1760285211409,1.36188092050185,1.42612193793198
"18",19,25,1.04303905630608,0.167019918432893,0.741702732505006,0.784337884392555,0.926062828499194,1.03413786551143,1.15031776981681,1.33210699831323,1.39494355590734
"19",20,26,1.0318698861766,0.165231419840525,0.733760360687997,0.775938962782852,0.916146274349513,1.0230640119607,1.13799982755341,1.31784240332528,1.38000608851075
"20",21,27,0.948859513792102,0.158143252298684,0.664569538215791,0.704558934190899,0.837955192909527,0.940088386681298,1.05020850943664,1.22308347655002,1.28297739145878
"21",22,28,0.946546379732515,0.159995540025762,0.659304235011195,0.699623233245997,0.834290440883623,0.937547074932382,1.04899860173471,1.22417148125906,1.28491215694407
"22",23,29,1.16516158283633,0.179788335478779,0.839745982751434,0.886025784388488,1.03939131922119,1.1559274296893,1.2808711408572,1.47579976741463,1.54303817533229
"23",24,30,1.02702058103422,0.164454909560837,0.730312030682412,0.772292413103666,0.911840815978361,1.0182560903025,1.13265176139729,1.31164916130038,1.37352070628263
"24",25,31,0.971122136636849,0.159651495812913,0.683759604778928,0.724263297400764,0.859210689314712,0.962387439307004,1.07351777421882,1.24777996035677,1.30810609778929
"25",26,32,1.07194837312953,0.169489919660068,0.765815633646779,0.809206837620538,0.953290502808718,1.06302882499672,1.18088858028799,1.36511920465677,1.42875399636364
"26",27,33,1.13276956729929,0.172745739529424,0.819790952599326,0.864372701858535,1.01197048076677,1.12400061232566,1.2440146598666,1.4310817059486,1.4955666497003
"27",28,34,1.24225857896343,0.177465511280489,0.919029735447697,0.96546046102886,1.1184060868368,1.23381813670405,1.35691437375337,1.54785082527385,1.61344128921162
"28",29,35,1.10954478984505,0.161843741337281,0.815251777752152,0.85741570087641,0.996523954782571,1.10168567672478,1.21400252090819,1.38848495367936,1.4484883837706
"29",30,36,1.12949727119947,0.161356753028495,0.83560829920411,0.877824451889081,1.01688701898853,1.1218229780522,1.23374562137026,1.40735054116469,1.46698727967386
"30",31,37,1.16551042014584,0.161627214689362,0.870458929035192,0.912995490951724,1.05281023586774,1.15804777359186,1.2700790836662,1.44348362350651,1.50296113121863
"31",32,38,1.24657483342314,0.163683294669496,0.94657653431823,0.990100260159497,1.13261911526015,1.2394179761544,1.35273185774119,1.5274642514976,1.58723604000739
"32",33,39,1.20472499583114,0.155529328187127,0.919332088593683,0.960814737175533,1.096497161638,1.19803872975575,1.30566683079361,1.4714446604206,1.52810734594592
"33",34,40,1.10476268098209,0.145062446796302,0.838892621421288,0.877465025385748,1.00377072980875,1.09841999812694,1.19884312897945,1.35369771340152,1.40666977697178
"34",35,41,1.06715900256281,0.14134866290277,0.808255807132896,0.845780718112767,0.968728502412062,1.06092483631343,1.15879629705963,1.30980450448502,1.36148254149273
"35",36,42,1.28469279522133,0.154658838105862,0.999567677005463,1.0413176726871,1.17727331436442,1.27849190818015,1.38535484263894,1.54922127227875,1.60505055214403
"36",37,43,1.42527686208995,0.156444460047731,1.1352250648245,1.17807429539628,1.31687111859408,1.4195569633721,1.52744896796865,1.69199171980301,1.74782939933695
"37",38,44,1.42497469792494,0.146974917882099,1.15152460620637,1.19214234097164,1.32328162265317,1.41992479410764,1.52116412241436,1.67503366632486,1.72711910226835
"38",39,45,1.50707022972819,0.142404751291777,1.24091696509777,1.28073079807677,1.40873268833177,1.50258728259485,1.60052182123951,1.74870209200645,1.7986968286171
"39",40,46,1.33329362127703,0.124874388836044,1.0998028232922,1.13475425808385,1.24707811078317,1.32939713493225,1.41526234785814,1.54512484291563,1.58892536673116
"40",41,47,1.29002764955475,0.117762873911084,1.06956112470755,1.10262630180666,1.20876634975503,1.28644601439,1.36738528140395,1.48964679434369,1.53084616119563
"41",42,48,1.33460037483634,0.115724529035122,1.11743300425653,1.15012358468866,1.25483007642527,1.3312570061668,1.41072662447384,1.53048213098427,1.5707660232466
"42",43,49,1.20614572882962,0.105381441620282,1.0084558645691,1.03819871077688,1.13349392684558,1.20307804792822,1.27545397241289,1.38455728749022,1.42126728392469
"43",44,50,1.12591697284695,0.0995179408191382,0.939325559395433,0.9673756599759,1.05729138521697,1.12298625871353,1.19134829985931,1.29445561154885,1.32916174370653
"44",45,51,1.1646580947256,0.100237808997732,0.976489908100384,1.00482984447396,1.0955733265009,1.16178366145177,1.23060991419619,1.33429166352245,1.36915991508328
"45",46,52,0.981503840168247,0.0903547522628621,0.812416671319706,0.837760285931457,0.919144234658446,0.978732627158028,1.04084307686056,1.13470065844746,1.16633789183294
"46",47,53,1.16667030053267,0.09967537052908,0.979496653104437,1.00770105304618,1.09798324500266,1.1638329177774,1.2322647820804,1.33531847373971,1.3699670685837
"47",48,54,1.17513228039722,0.0979276900331015,0.991039821020324,1.01882663133272,1.10768264170895,1.17241318905448,1.2396182505954,1.34071332054198,1.37467575192502
"48",49,55,1.18079933626007,0.0957754731991845,1.00054545854389,1.02780116221452,1.11486639553407,1.17821087599843,1.24391096515997,1.34262727462031,1.37576199410352
"49",50,56,1.16993901419274,0.0930753504782406,0.994626013857384,1.02116744417422,1.10588826941823,1.16747171629393,1.23130049305522,1.32712702816119,1.35927234082958
"50",51,57,1.14133394600423,0.089949715983987,0.971843087560237,0.997518265439206,1.07944498791445,1.1389718074904,1.20064825093338,1.29320734600856,1.32424758665904
"51",52,58,1.26128134497629,0.0929828943824923,1.08561501799434,1.11233311138813,1.19738244912861,1.25899715235159,1.32269050033147,1.41802137785161,1.44992765692377
"52",53,59,1.24202512442716,0.0889432665532969,1.07380840893337,1.09943600215733,1.18093300541564,1.23990265096747,1.30080375795638,1.39185438078599,1.42230289838874
"53",54,60,1.16178058922478,0.0831968360314158,1.00443198894265,1.02840383924631,1.10463549881854,1.15979524414752,1.21676166340143,1.30192970401499,1.33041100928476
"54",55,61,1.1531472938556,0.0813367388160253,0.999231649544573,1.02270035430936,1.09729420839492,1.15123550827902,1.20691653502355,1.29011566850781,1.31792677361522
"55",56,62,1.2184766723271,0.0821496804897597,1.06277452860058,1.08657367668608,1.16210744988569,1.21663099366308,1.27283408648132,1.3566755867944,1.3846670522073
"56",57,63,1.24301638285024,0.080572784779987,1.09010004748586,1.11352089069119,1.18776380658747,1.24127589768056,1.29637179735777,1.37844895063156,1.40582322593499
"57",58,64,1.1821786520907,0.075993321951573,1.03791393230935,1.06001895089142,1.13007320267843,1.18055070617938,1.23250960675197,1.30989153735049,1.33569437042414
"58",59,65,1.16707574261559,0.0738123509719543,1.02687724741056,1.04837656847418,1.11647838800561,1.16552001101784,1.21597731226618,1.29108176259508,1.31611488466884
"59",60,66,1.29180950942138,0.0761206053427602,1.14690862857154,1.1692036678736,1.23968464063349,1.29031466756033,1.34230494418821,1.41951447834908,1.44520508011765
"60",61,67,1.14466926780883,0.0687765106789877,1.01382542814473,1.0339395394747,1.09756008995008,1.14329210287119,1.19027728882823,1.2600967134381,1.28333906476757
"61",62,68,1.14314215223712,0.0675954124995451,1.01448301037114,1.03427587892334,1.09685273066208,1.14181009513864,1.18797958215721,1.25655227052557,1.27937092987655
"62",63,69,1.12724720654604,0.0660804015287867,1.00143910207682,1.02080101009215,1.0820008995674,1.12595623590942,1.17108630563786,1.23809709456676,1.26039147172901
