"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.59136852589445,0.530456175298151,0.727675024386739,0.830204147735229,1.20902370256067,1.53283289636916,1.91007453479667,2.5523163598972,2.78722702141493
"2",3,9,1.75499020627264,0.529149456814071,0.876084787779377,0.98423157957394,1.37524378251,1.70210475764846,2.07721159558943,2.70622987594013,2.93408134032801
"3",4,10,1.76529066275489,0.489603538512351,0.93994293080015,1.04418005836451,1.41518131946284,1.72023895931011,2.06637900677455,2.64013739215873,2.84640695092994
"4",5,11,1.82308579863421,0.455771449658551,1.04205105464452,1.14352563714477,1.49858260181726,1.78524874039038,2.10640370775976,2.63175307843258,2.81897135498174
"5",6,12,1.77859246269815,0.408037095086547,1.07082884810153,1.16469275733427,1.48908279198088,1.74748828461783,2.03423737232879,2.49862007853037,2.66299852591944
"6",7,13,2.01619770199847,0.395408900990429,1.31704727791854,1.41277660865988,1.73732280392037,1.99040875781474,2.26698517180472,2.70760463851521,2.86183224926813
"7",8,14,1.55929667537475,0.305803237508316,1.01858435793977,1.09261996814449,1.34361906549173,1.53935189769384,1.75325189489857,2.09402029715696,2.21329758849582
"8",9,15,1.79049153977956,0.307066765781827,1.23996744112719,1.31707065381772,1.57494266396997,1.77296862542204,1.986951582753,2.32369371737531,2.44055947187393
"9",10,16,1.46965399894965,0.252043581468896,1.01777811731202,1.08106523280236,1.2927292493685,1.45527100937018,1.63091043684674,1.90731186839076,2.00323648999512
"10",11,17,1.35694535122035,0.229365627403593,0.945162155700335,1.00296246891482,1.19601802887306,1.34404417165406,1.50381830889556,1.75494179277347,1.84201811493324
"11",12,18,1.47798432773861,0.230822372475341,1.0606270711092,1.11988477800177,1.31645190030698,1.4659857174557,1.62644432660481,1.87701735383925,1.96350747721697
"12",13,19,1.34668914786692,0.207798646873461,0.970575084687677,1.0240650963291,1.20132437474887,1.33601635019145,1.48042579726096,1.70572353266559,1.78343741853036
"13",14,20,1.09529081059852,0.18006470006726,0.771185810228205,0.816868346595507,0.969070250662344,1.08543928589549,1.21077885958617,1.40732238785205,1.47536188718585
